1850	0.5
1851	0.54694
1852	0.60514
1853	0.60608
1854	0.6144
1855	0.61314
1856	0.62342
1857	0.62974
1858	0.63612
1859	0.6462
1860	0.65924
1861	0.67452
1862	0.6175
1863	0.6243
1864	0.63272
1865	0.64036
1866	0.64418
1867	0.65124
1868	0.65312
1869	0.6597
1870	0.66162
1871	0.69126
1872	0.7942
1873	0.81566
1874	0.81114
1875	0.83284
1876	0.84258
1877	0.8532
1878	0.86174
1879	0.88244
1880	0.91594
1881	0.95974
1882	0.9271
1883	0.9489
1884	0.957
1885	0.96334
1886	0.97036
1887	0.9838
1888	1.01404
1889	1.01252
1890	1.04038
1891	1.05254
1892	1.06904
1893	1.0654
1894	1.09574
1895	1.1231
1896	1.1382
1897	1.1616
1898	1.1871
1899	1.23124
1900	1.26006
1901	1.3436
1902	1.36152
1903	1.44198
1904	1.47496
1905	1.54138
1906	1.60574
1907	1.70592
1908	1.68546
1909	1.72274
1910	1.76684
1911	1.72386
1912	1.72688
1913	1.76882
1914	1.6694
1915	1.64596
1916	1.7155
1917	1.7612
1918	1.75132
1919	1.63042
1920	1.76616
1921	1.6967
1922	1.7299
1923	1.85636
1924	1.8653
1925	1.87516
1926	1.86446
1927	1.99522
1928	2.00224
1929	2.11108
1930	2.10064
1931	1.99596
1932	1.8032
1933	1.8462
1934	1.91466
1935	1.96346
1936	2.07472
1937	2.13374
1938	2.0664
1939	2.12954
1940	2.22598
1941	2.24156
1942	2.26686
1943	2.31008
1944	2.30638
1945	2.07682
1946	2.26798
1947	2.4382
1948	2.5196
1949	2.45648
1950	2.61767
1951	2.95747
1952	3.00743
1953	3.05131
1954	3.14429
1955	3.35996
1956	3.54741
1957	3.64281
1958	3.76324
1959	3.76564
1960	3.88036
1961	3.96269
1962	4.04729
1963	4.20887
1964	4.35739
1965	4.51095
1966	4.68299
1967	4.78782
1968	4.89957
1969	5.13142
1970	5.39472
1971	5.40445
1972	5.56365
1973	5.79252
1974	5.78173
1975	5.77509
1976	6.09006
1977	6.2158
1978	6.40587
1979	6.5111
1980	6.44624
1981	6.33134
1982	6.51498
1983	6.62077
1984	6.81714
1985	7.02417
1986	7.11818
1987	7.32311
1988	7.57213
1989	7.65892
1990	7.61597
1991	7.86345
1992	7.62347
1993	7.69182
1994	7.70375
1995	7.79373
1996	7.93158
1997	7.93017
1998	7.8294
1999	7.79069
2000.000   7.970
2001.000   8.101
2002.000   8.232
2003.000   8.363
2004.000   8.494
2005.000   8.625
2006.000   8.756
2007.000   8.887
2008.000   9.018
2009.000   9.149
2010.000   9.280
2011.000   9.415
2012.000   9.550
2013.000   9.685
2014.000   9.820
2015.000   9.955
2016.000  10.090
2017.000  10.225
2018.000  10.360
2019.000  10.495
2020.000  10.630
2021.000  10.678
2022.000  10.726
2023.000  10.774
2024.000  10.822
2025.000  10.870
2026.000  10.918
2027.000  10.966
2028.000  11.014
2029.000  11.062
2030.000  11.110
2031.000  11.171
2032.000  11.232
2033.000  11.293
2034.000  11.354
2035.000  11.415
2036.000  11.476
2037.000  11.537
2038.000  11.598
2039.000  11.659
2040.000  11.720
2041.000  11.677
2042.000  11.634
2043.000  11.591
2044.000  11.548
2045.000  11.505
2046.000  11.462
2047.000  11.419
2048.000  11.376
2049.000  11.333
2050.000  11.290
2051.000  11.135
2052.000  10.980
2053.000  10.825
2054.000  10.670
2055.000  10.515
2056.000  10.360
2057.000  10.205
2058.000  10.050
2059.000   9.895
2060.000   9.740
2061.000   9.584
2062.000   9.428
2063.000   9.272
2064.000   9.116
2065.000   8.960
2066.000   8.804
2067.000   8.648
2068.000   8.492
2069.000   8.336
2070.000   8.180
2071.000   8.032
2072.000   7.884
2073.000   7.736
2074.000   7.588
2075.000   7.440
2076.000   7.292
2077.000   7.144
2078.000   6.996
2079.000   6.848
2080.000   6.700
2081.000   6.562
2082.000   6.424
2083.000   6.286
2084.000   6.148
2085.000   6.010
2086.000   5.872
2087.000   5.734
2088.000   5.596
2089.000   5.458
2090.000   5.320
2091.000   5.211
2092.000   5.102
2093.000   4.993
2094.000   4.884
2095.000   4.775
2096.000   4.666
2097.000   4.557
2098.000   4.448
2099.000   4.339
2100.000   4.230

